ČÍSLO,OBEC,POČET VOLIČŮ,VYDANÉ OBÁLKY,PLATNÉ HLASY,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,ROZUMNÍ-stop migraci.diktát.EU,Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
533173,Barchovice,185,132,132,8,0,0,11,0,14,11,0,0,2,1,0,27,0,0,8,37,0,2,2,0,1,0,1,7,0
533181,Bečváry,822,492,491,41,0,1,32,0,94,48,3,3,3,0,0,34,0,0,10,167,0,3,6,0,2,0,2,41,1
533190,Bělušice,229,123,123,9,0,0,12,0,16,18,0,1,0,0,0,8,0,0,0,46,0,0,1,0,0,0,0,12,0
533211,Břežany I,251,147,147,9,0,0,4,0,34,5,2,4,2,0,0,7,0,0,1,51,0,0,11,0,0,0,0,16,1
533220,Břežany II,567,328,328,42,2,0,22,0,31,19,7,7,6,0,0,48,1,0,16,91,0,0,8,0,3,2,1,20,2
533238,Býchory,455,306,305,23,1,0,16,0,90,29,1,1,4,0,0,12,0,0,7,92,0,0,2,0,3,0,0,24,0
533246,Cerhenice,1327,807,800,60,0,0,147,2,86,66,7,7,14,0,0,69,0,1,9,232,0,0,23,1,3,0,0,72,1
599476,Církvice,133,86,86,1,0,0,7,0,22,10,1,0,0,0,0,0,0,0,2,27,0,0,0,0,1,0,0,15,0
533262,Červené Pečky,1434,911,905,80,1,0,46,0,263,66,5,7,11,2,1,63,1,0,37,219,0,0,15,0,3,0,2,83,0
533271,Český Brod,5481,3347,3330,501,3,1,209,2,274,212,41,22,52,0,8,433,2,3,258,868,3,0,123,3,22,3,4,276,7
533289,Dobřichov,607,391,389,36,0,1,44,0,58,51,4,3,8,0,0,42,1,1,15,94,0,1,2,0,0,1,0,24,3
533297,Dolní Chvatliny,358,196,195,10,0,1,11,1,36,36,0,6,3,0,0,13,0,1,3,55,0,0,2,0,2,1,0,13,1
513181,Dománovice,104,66,66,3,0,0,0,0,20,8,0,0,1,0,0,5,0,0,1,20,0,0,2,0,0,0,0,6,0
533301,Doubravčice,490,325,325,54,1,0,17,0,23,14,3,2,2,1,1,50,0,0,25,97,1,1,11,0,0,2,0,20,0
564681,Drahobudice,202,129,129,13,0,0,6,0,27,15,0,0,1,0,0,9,0,0,4,34,0,0,1,0,0,0,0,19,0
599450,Grunta,71,56,56,1,0,0,2,0,8,6,0,0,0,0,0,3,0,0,0,24,0,0,4,0,0,1,2,5,0
