ČÍSLO,OBEC,POČET VOLIČŮ,VYDANÉ OBÁLKY,PLATNÉ HLASY,Občanská demokratická strana,Řád národa  Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,ROZUMNÍstop migraci.diktát.EU,Strana svobodných občanů,Blok proti islam.Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Česká národní fronta,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPRRepubl.str.Čsl. M.Sládka,Křesť.demokr.unieČs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.T.Okamura (SPD),Strana Práv Občanů
512974,Bělá,559,379,375,22,0,0,27,1,9,15,3,8,5,1,1,18,0,1,15,150,0,1,30,0,3,0,1,63,1
506192,Bohuslavice,1380,908,905,48,3,1,48,0,20,32,3,6,9,1,2,82,0,1,47,349,0,0,141,0,3,1,0,106,2
506214,Bolatice,3533,2309,2292,99,1,3,126,1,41,101,18,11,25,1,0,165,0,0,417,844,1,4,125,0,7,4,3,290,5
554197,Branka u Opavy,887,593,589,37,0,0,60,0,12,59,0,1,4,1,1,60,0,2,19,227,0,2,30,0,2,0,0,70,2
553107,Bratříkovice,124,75,74,2,0,1,7,0,2,10,0,0,0,0,0,8,0,0,1,23,0,0,4,0,1,0,1,14,0
506320,Brumovice,1222,737,729,46,0,0,85,0,37,83,4,7,15,0,1,66,0,1,7,258,0,5,16,0,3,1,0,93,1
506451,Březová,1101,751,750,31,0,0,63,0,24,82,5,7,2,1,0,47,0,0,11,292,0,0,100,0,3,1,2,78,1
506460,Budišov nad Budišovkou,2361,1129,1121,164,1,0,65,3,10,128,11,11,4,2,2,64,0,2,9,412,0,3,49,0,6,2,2,167,4
568261,Budišovice,552,390,389,46,0,0,22,0,34,28,1,2,2,2,1,38,0,0,6,124,1,0,44,0,5,0,0,32,1
569950,Čermná ve Slezsku,286,106,105,5,0,0,17,0,3,17,0,1,0,0,0,12,0,2,0,32,0,0,4,0,0,0,0,12,0
568228,Darkovice,1086,742,732,48,0,0,47,0,22,20,7,11,11,1,0,45,0,1,17,288,0,1,107,0,5,2,3,86,10
568236,Děhylov,594,414,413,56,0,0,29,0,7,44,2,1,7,0,0,21,0,0,12,150,0,0,20,0,1,0,0,61,2
569895,Dobroslavice,623,440,432,50,1,0,34,1,34,43,8,2,0,0,0,36,0,0,18,144,0,1,22,0,2,1,0,35,0
506702,Dolní Benešov,3370,2003,1990,131,0,0,207,0,39,103,12,11,19,1,2,143,0,1,100,770,6,4,156,0,15,4,2,262,2
553051,Dolní Životice,868,531,528,24,0,1,25,0,27,33,5,1,4,0,1,46,0,0,24,178,0,1,73,0,4,1,0,77,3
506753,Háj ve Slezsku,2723,1833,1821,151,1,1,140,0,84,223,12,10,26,2,3,207,0,0,53,580,2,4,129,0,12,1,3,173,4
568210,Hať,2100,1246,1244,66,0,0,73,0,38,59,12,21,7,2,0,100,0,0,33,462,0,6,185,0,6,6,1,164,3
553093,Hlavnice,508,297,293,15,0,0,16,0,8,29,3,5,1,1,1,21,0,2,6,135,0,2,14,0,1,0,1,32,0
